date,win,lose,probability
1573772400000 	,Detroit Pistons,Charlotte Hornets,0.5483564719143154
1573772400000 	,San Antonio Spurs,Orlando Magic,0.6560062253944863
1573776000000 	,Houston Rockets,Indiana Pacers,0.655671798445083
1573776000000 	,Utah Jazz,Memphis Grizzlies,0.7192009949805926
1573776000000 	,Washington Wizards,Minnesota Timberwolves,0.5264568273866201
1573776000000 	,Oklahoma City Thunder,Philadelphia 76ers,0.606071411610189
1573785000000 	,Golden State Warriors,Boston Celtics,0.714318215077032
1573785000000 	,Los Angeles Lakers,Sacramento Kings,0.5004483229543384
1573855200000 	,Brooklyn Nets,Chicago Bulls,0.8064956985173269
1573858800000 	,Milwaukee Bucks,Indiana Pacers,0.6021957071742149
1573860600000 	,Charlotte Hornets,New York Knicks,0.8307622314104282
1573862400000 	,Miami Heat,New Orleans Pelicans,0.5732076565055202
1573862400000 	,Houston Rockets,Minnesota Timberwolves,0.7342672707931703
1573864200000 	,Toronto Raptors,Dallas Mavericks,0.681244694202764
1573864200000 	,San Antonio Spurs,Portland Trail Blazers,0.5433060568697538
1573871400000 	,Los Angeles Clippers,Atlanta Hawks,0.6777760817595051
1573930800000 	,Philadelphia 76ers,Cleveland Cavaliers,0.8604595129144925
1573932600000 	,Boston Celtics,Sacramento Kings,0.6308801173588681
1573941600000 	,Denver Nuggets,Memphis Grizzlies,0.7221706217643347
1573941600000 	,Washington Wizards,Orlando Magic,0.5325341719061847
1573945200000 	,Golden State Warriors,New Orleans Pelicans,0.7553992788030951
1573954200000 	,Los Angeles Lakers,Atlanta Hawks,0.5805767137866478
1574031600000 	,Cleveland Cavaliers,New York Knicks,0.6112696227442176
1574033400000 	,Indiana Pacers,Brooklyn Nets,0.6010182278428275
1574033400000 	,Toronto Raptors,Charlotte Hornets,0.7958633638186681
1574035200000 	,Milwaukee Bucks,Chicago Bulls,0.894325122762227
1574035200000 	,Houston Rockets,Portland Trail Blazers,0.6246468489976552
1574037000000 	,San Antonio Spurs,Dallas Mavericks,0.5881385264028061
1574038800000 	,Boston Celtics,Phoenix Suns,0.8998041635404417
1574038800000 	,Utah Jazz,Minnesota Timberwolves,0.7099721296094319
1574044200000 	,Oklahoma City Thunder,Los Angeles Clippers,0.5054355424728805
1574121600000 	,Golden State Warriors,Memphis Grizzlies,0.7580816390660974
1574121600000 	,Portland Trail Blazers,New Orleans Pelicans,0.7086949774736729
1574128800000 	,Sacramento Kings,Phoenix Suns,0.6824024023527449
1574130600000 	,Oklahoma City Thunder,Los Angeles Lakers,0.6083000119481219
1574204400000 	,Philadelphia 76ers,New York Knicks,0.8864285627777806
1574204400000 	,San Antonio Spurs,Washington Wizards,0.7159336547912616
1574206200000 	,Milwaukee Bucks,Atlanta Hawks,0.876675113077096
1574206200000 	,Charlotte Hornets,Brooklyn Nets,0.5259407503109257
1574206200000 	,Golden State Warriors,Dallas Mavericks,0.6879016296435727
1574206200000 	,Miami Heat,Cleveland Cavaliers,0.7922080310666961
1574206200000 	,Toronto Raptors,Orlando Magic,0.787718996781095
1574208000000 	,Detroit Pistons,Chicago Bulls,0.7740321732490812
1574208000000 	,Utah Jazz,Minnesota Timberwolves,0.7013039928228879
1574211600000 	,Denver Nuggets,Houston Rockets,0.5903655217491547
1574215200000 	,Boston Celtics,Los Angeles Clippers,0.5024673781116227
1574294400000 	,Milwaukee Bucks,Portland Trail Blazers,0.7171052923279299
1574303400000 	,New Orleans Pelicans,Phoenix Suns,0.84598807809196
1574377200000 	,Detroit Pistons,Atlanta Hawks,0.5697573252020052
1574377200000 	,Charlotte Hornets,Washington Wizards,0.6635751812356127
1574379000000 	,Sacramento Kings,Brooklyn Nets,0.5175650049408954
1574380800000 	,Miami Heat,Chicago Bulls,0.7415327267341814
1574380800000 	,Oklahoma City Thunder,Los Angeles Lakers,0.7126137198600065
1574380800000 	,Philadelphia 76ers,San Antonio Spurs,0.6599798969295745
1574382600000 	,Dallas Mavericks,Cleveland Cavaliers,0.736377281413746
1574384400000 	,Denver Nuggets,Boston Celtics,0.6477797902451449
1574384400000 	,Utah Jazz,Golden State Warriors,0.5446997701705861
1574389800000 	,Houston Rockets,Los Angeles Clippers,0.5630838368292395
1574456400000 	,Minnesota Timberwolves,Phoenix Suns,0.6290781897757382
1574463600000 	,Charlotte Hornets,Chicago Bulls,0.708833835002251
1574463600000 	,Indiana Pacers,Orlando Magic,0.6161542243799776
1574465400000 	,Toronto Raptors,Atlanta Hawks,0.841890567419766
1574465400000 	,San Antonio Spurs,New York Knicks,0.8624928823541638
1574465400000 	,Philadelphia 76ers,Miami Heat,0.7413088841327373
1574467200000 	,Portland Trail Blazers,Cleveland Cavaliers,0.8750631151419176
1574467200000 	,Los Angeles Lakers,Memphis Grizzlies,0.574189763224122
1574469000000 	,Milwaukee Bucks,Detroit Pistons,0.7921513534678183
1574470800000 	,Utah Jazz,New Orleans Pelicans,0.7218170311626759
1574537400000 	,Houston Rockets,Dallas Mavericks,0.7750193652889994
1574546400000 	,Brooklyn Nets,New York Knicks,0.8605687451085108
1574546400000 	,Sacramento Kings,Washington Wizards,0.6560408476402956
1574553600000 	,Denver Nuggets,Phoenix Suns,0.8710329615734888
1574557200000 	,Los Angeles Clippers,New Orleans Pelicans,0.6181505611628874
1574636400000 	,Brooklyn Nets,Cleveland Cavaliers,0.8500344052338379
1574636400000 	,Orlando Magic,Detroit Pistons,0.5313243287556884
1574636400000 	,Indiana Pacers,Memphis Grizzlies,0.6770209529321685
1574638200000 	,Minnesota Timberwolves,Atlanta Hawks,0.7285387201667726
1574638200000 	,Boston Celtics,Sacramento Kings,0.6957677093136209
1574638200000 	,Miami Heat,Charlotte Hornets,0.5498091862720372
1574638200000 	,Toronto Raptors,Philadelphia 76ers,0.740278061812194
1574640000000 	,Portland Trail Blazers,Chicago Bulls,0.837400894073616
1574640000000 	,Milwaukee Bucks,Utah Jazz,0.7095649299643244
1574641800000 	,San Antonio Spurs,Los Angeles Lakers,0.6853177053101771
1574649000000 	,Golden State Warriors,Oklahoma City Thunder,0.7118890778288612
1574728200000 	,Los Angeles Clippers,Dallas Mavericks,0.5933984698024877
1574730000000 	,Denver Nuggets,Washington Wizards,0.7817565940428183
1574809200000 	,Boston Celtics,Brooklyn Nets,0.637533367185334
1574809200000 	,Detroit Pistons,Charlotte Hornets,0.5483564719143154
1574809200000 	,Orlando Magic,Cleveland Cavaliers,0.8256772539520865
1574809200000 	,Indiana Pacers,Utah Jazz,0.5112952531718239
1574809200000 	,Philadelphia 76ers,Sacramento Kings,0.7194800930536788
1574811000000 	,Toronto Raptors,New York Knicks,0.9246373352368559
1574812800000 	,Houston Rockets,Miami Heat,0.7492063843152361
1574812800000 	,Los Angeles Clippers,Memphis Grizzlies,0.6747824084140193
1574812800000 	,Milwaukee Bucks,Atlanta Hawks,0.8491131788813684
1574814600000 	,San Antonio Spurs,Minnesota Timberwolves,0.6572504967036312
1574816400000 	,Washington Wizards,Phoenix Suns,0.8217738946142868
1574818200000 	,Los Angeles Lakers,New Orleans Pelicans,0.5706233036038454
1574820000000 	,Portland Trail Blazers,Oklahoma City Thunder,0.6409524351954954
1574821800000 	,Golden State Warriors,Chicago Bulls,0.9140350362784062
1575000000000 	,Boston Celtics,Brooklyn Nets,0.6225488148983752
1574982000000 	,Charlotte Hornets,Detroit Pistons,0.5190043911954211
1574982000000 	,Toronto Raptors,Orlando Magic,0.7405384603924661
1574983800000 	,Milwaukee Bucks,Cleveland Cavaliers,0.9200608655419032
1574983800000 	,Philadelphia 76ers,New York Knicks,0.870373215257142
1574985600000 	,Indiana Pacers,Atlanta Hawks,0.7067350118836367
1574985600000 	,Utah Jazz,Memphis Grizzlies,0.7192009949805926
1574985600000 	,Golden State Warriors,Miami Heat,0.6175741679786666
1574985600000 	,Oklahoma City Thunder,New Orleans Pelicans,0.6982761723562063
1574987400000 	,San Antonio Spurs,Los Angeles Clippers,0.5859843550738972
1574989200000 	,Dallas Mavericks,Phoenix Suns,0.8192938589172165
1574992800000 	,Portland Trail Blazers,Chicago Bulls,0.8848164123046459
1574994600000 	,Los Angeles Lakers,Washington Wizards,0.559304444226614
1575061200000 	,Denver Nuggets,Sacramento Kings,0.6528742709128872
1575068400000 	,Philadelphia 76ers,Indiana Pacers,0.6462197318677748
1575072000000 	,Houston Rockets,Atlanta Hawks,0.786982833361028
1575072000000 	,Milwaukee Bucks,Charlotte Hornets,0.7975008385293153
1575140400000 	,Brooklyn Nets,Miami Heat,0.5101509871346418
1575142200000 	,Memphis Grizzlies,Minnesota Timberwolves,0.5395643681500234
1575142200000 	,Boston Celtics,New York Knicks,0.8794851324326957
1575144000000 	,Los Angeles Lakers,Dallas Mavericks,0.5634513846935982
1575147600000 	,San Antonio Spurs,Detroit Pistons,0.579608493679923
1575147600000 	,Oklahoma City Thunder,New Orleans Pelicans,0.7020027491956582
1575151200000 	,Golden State Warriors,Orlando Magic,0.7464180321873273
1575151200000 	,Toronto Raptors,Utah Jazz,0.7074771998123813
1575167400000 	,Los Angeles Clippers,Washington Wizards,0.6585341317302069
1575241200000 	,Charlotte Hornets,Phoenix Suns,0.677668267984189
1575241200000 	,Philadelphia 76ers,Utah Jazz,0.6060746373835428
1575243000000 	,Golden State Warriors,Atlanta Hawks,0.8459511998162994
1575244800000 	,Indiana Pacers,Memphis Grizzlies,0.6832785318580697
1575244800000 	,Milwaukee Bucks,New York Knicks,0.9253387574222477
1575252000000 	,Sacramento Kings,Chicago Bulls,0.713303885894707
1575327600000 	,Detroit Pistons,Cleveland Cavaliers,0.8232746331153628
1575327600000 	,Orlando Magic,Washington Wizards,0.6745144163429064
1575329400000 	,Dallas Mavericks,New Orleans Pelicans,0.5402874120018566
1575329400000 	,Toronto Raptors,Miami Heat,0.8183344478457787
1575333000000 	,Houston Rockets,San Antonio Spurs,0.5065205236096786
1575334800000 	,Denver Nuggets,Los Angeles Lakers,0.7631231787031704
1575338400000 	,Portland Trail Blazers,Los Angeles Clippers,0.51348280070255
1575414000000 	,Golden State Warriors,Charlotte Hornets,0.6985477146452768
1575414000000 	,Milwaukee Bucks,Detroit Pistons,0.7336733631903584
1575414000000 	,Orlando Magic,Phoenix Suns,0.6233682923825866
1575415800000 	,Brooklyn Nets,Atlanta Hawks,0.777820621405832
1575415800000 	,Boston Celtics,Miami Heat,0.718720316389174
1575417600000 	,Memphis Grizzlies,Chicago Bulls,0.7272996704797401
1575417600000 	,Oklahoma City Thunder,Indiana Pacers,0.6078297031516418
1575419400000 	,Minnesota Timberwolves,Dallas Mavericks,0.5185805507623407
1575421200000 	,Utah Jazz,Los Angeles Lakers,0.7354597372120575
1575424800000 	,Portland Trail Blazers,Sacramento Kings,0.7352579941233486
1575500400000 	,Philadelphia 76ers,Washington Wizards,0.7295796867987823
1575502200000 	,Denver Nuggets,New York Knicks,0.8892661183455451
1575502200000 	,Toronto Raptors,Houston Rockets,0.6726721543387167
1575504000000 	,New Orleans Pelicans,Phoenix Suns,0.6120290078814127
1575586800000 	,Brooklyn Nets,Charlotte Hornets,0.5963333403203932
1575586800000 	,Orlando Magic,Cleveland Cavaliers,0.8256772539520865
1575586800000 	,Indiana Pacers,Detroit Pistons,0.5943330822109454
1575590400000 	,Boston Celtics,Denver Nuggets,0.5747918927273707
1575590400000 	,Golden State Warriors,Chicago Bulls,0.8673329351535821
1575590400000 	,Miami Heat,Washington Wizards,0.615386936448946
1575590400000 	,Oklahoma City Thunder,Minnesota Timberwolves,0.6858651386601573
1575592200000 	,Milwaukee Bucks,Los Angeles Clippers,0.7509860009344588
1575592200000 	,San Antonio Spurs,Sacramento Kings,0.6565203628211467
1575599400000 	,Portland Trail Blazers,Los Angeles Lakers,0.7598685128619956
1575655200000 	,New Orleans Pelicans,Dallas Mavericks,0.5040280394297293
1575675000000 	,Indiana Pacers,New York Knicks,0.8695393874023898
1575675000000 	,Philadelphia 76ers,Cleveland Cavaliers,0.8856141211307483
1575676800000 	,Houston Rockets,Phoenix Suns,0.8646221167049234
1575684000000 	,Utah Jazz,Memphis Grizzlies,0.7457159497058118
1575745200000 	,Denver Nuggets,Brooklyn Nets,0.6447598627252198
1575752400000 	,Charlotte Hornets,Atlanta Hawks,0.5487664233800661
1575756000000 	,Miami Heat,Chicago Bulls,0.7774477123470551
1575756000000 	,Philadelphia 76ers,Toronto Raptors,0.5646319315925498
1575756000000 	,Los Angeles Clippers,Washington Wizards,0.7203375738905531
1575759600000 	,Sacramento Kings,Dallas Mavericks,0.5193892502589621
1575766800000 	,Portland Trail Blazers,Oklahoma City Thunder,0.6409524351954954
1575768600000 	,Los Angeles Lakers,Minnesota Timberwolves,0.5012581876833105
1575846000000 	,Indiana Pacers,Los Angeles Clippers,0.5636022387936648
1575847800000 	,Boston Celtics,Cleveland Cavaliers,0.8734754712161624
1575849600000 	,Toronto Raptors,Chicago Bulls,0.863745133335656
1575849600000 	,Houston Rockets,Sacramento Kings,0.7277993010232457
1575849600000 	,Milwaukee Bucks,Orlando Magic,0.7894045141645053
1575849600000 	,Detroit Pistons,New Orleans Pelicans,0.6180453378949302
1575853200000 	,Minnesota Timberwolves,Phoenix Suns,0.853424845859005
1575853200000 	,Utah Jazz,Oklahoma City Thunder,0.6106496809985873
1575858600000 	,Golden State Warriors,Memphis Grizzlies,0.8220685512047493
1575932400000 	,Charlotte Hornets,Washington Wizards,0.5271946704089523
1575936000000 	,Miami Heat,Atlanta Hawks,0.6357152912982945
1575936000000 	,Philadelphia 76ers,Denver Nuggets,0.6025470455397436
1575943200000 	,Portland Trail Blazers,New York Knicks,0.8941972608717906
1576018800000 	,Houston Rockets,Cleveland Cavaliers,0.8953159816156984
1576018800000 	,Indiana Pacers,Boston Celtics,0.531493086447422
1576018800000 	,Los Angeles Lakers,Orlando Magic,0.5588199042087262
1576018800000 	,Toronto Raptors,Los Angeles Clippers,0.749090731121677
1576020600000 	,Charlotte Hornets,Brooklyn Nets,0.5259407503109257
1576022400000 	,Atlanta Hawks,Chicago Bulls,0.6987811811226546
1576022400000 	,Utah Jazz,Minnesota Timberwolves,0.7013039928228879
1576026000000 	,Memphis Grizzlies,Phoenix Suns,0.8293567200909993
1576027800000 	,Milwaukee Bucks,New Orleans Pelicans,0.8124178400430491
1576029600000 	,Oklahoma City Thunder,Sacramento Kings,0.6336407661267971
1576031400000 	,Golden State Warriors,New York Knicks,0.9212480415621291
1576108800000 	,Boston Celtics,Philadelphia 76ers,0.6178501976125527
1576110600000 	,San Antonio Spurs,Cleveland Cavaliers,0.8522861544673541
1576112400000 	,Detroit Pistons,Dallas Mavericks,0.5525307142216944
1576117800000 	,Denver Nuggets,Portland Trail Blazers,0.6376593799979536
1576191600000 	,Miami Heat,Los Angeles Lakers,0.5899987425681968
1576191600000 	,Houston Rockets,Orlando Magic,0.7389998313914041
1576191600000 	,Philadelphia 76ers,New Orleans Pelicans,0.7317201680822236
1576193400000 	,Indiana Pacers,Atlanta Hawks,0.7908210026056532
1576195200000 	,Charlotte Hornets,Chicago Bulls,0.7682428775480459
1576195200000 	,Milwaukee Bucks,Memphis Grizzlies,0.8022335154756028
1576198800000 	,Utah Jazz,Golden State Warriors,0.5446997701705861
1576200600000 	,Los Angeles Clippers,Minnesota Timberwolves,0.6554107845897098
1576202400000 	,Sacramento Kings,New York Knicks,0.7324290674473847
1576270800000 	,San Antonio Spurs,Phoenix Suns,0.8853032134021301
1576279800000 	,Toronto Raptors,Brooklyn Nets,0.7561442187616257
1576281600000 	,Los Angeles Clippers,Chicago Bulls,0.8123397074956231
1576281600000 	,Washington Wizards,Memphis Grizzlies,0.5480792075987095
1576283400000 	,Dallas Mavericks,Miami Heat,0.5083248707543083
1576283400000 	,Milwaukee Bucks,Cleveland Cavaliers,0.9247796698915072
